Querylength,domain_token_count,path_token_count,avgdomaintokenlen,longdomaintokenlen,avgpathtokenlen,tld,charcompvowels,charcompace,ldl_url,ldl_domain,ldl_path,ldl_filename,ldl_getArg,dld_url,dld_domain,dld_path,dld_filename,dld_getArg,urlLen,domainlength,pathLength,subDirLen,fileNameLen,this.fileExtLen,ArgLen,pathurlRatio,ArgUrlRatio,argDomanRatio,domainUrlRatio,pathDomainRatio,argPathRatio,executable,isPortEighty,NumberofDotsinURL,ISIpAddressInDomainName,CharacterContinuityRate,LongestVariableValue,URL_DigitCount,host_DigitCount,Directory_DigitCount,File_name_DigitCount,Extension_DigitCount,Query_DigitCount,URL_Letter_Count,host_letter_count,Directory_LetterCount,Filename_LetterCount,Extension_LetterCount,Query_LetterCount,LongestPathTokenLength,Domain_LongestWordLength,Path_LongestWordLength,sub-Directory_LongestWordLength,Arguments_LongestWordLength,URL_sensitiveWord,URLQueries_variable,spcharUrl,delimeter_Domain,delimeter_path,delimeter_Count,NumberRate_URL,NumberRate_Domain,NumberRate_DirectoryName,NumberRate_FileName,NumberRate_Extension,NumberRate_AfterPath,SymbolCount_URL,SymbolCount_Domain,SymbolCount_Directoryname,SymbolCount_FileName,SymbolCount_Extension,SymbolCount_Afterpath,Entropy_URL,Entropy_Domain,Entropy_DirectoryName,Entropy_Filename,Entropy_Extension,Entropy_Afterpath
4,1,0,5,9,7,1,2.2627768191154316,3.8707503760538513,10.86224741603318,11.176771231213445,4.286611341612712,6.104260125742616,7.89577576997363,7.322171147157807,5.078783823442475,8.336043794410383,5.63179508255002,6.9534203731142865,78,13,28,19,0,3,7,0,0,0,0,1.0,0.16039076585504428,0,1,0,0,0,0.0,14,0,9,2,1,11,42,6.643574116384345,2,4,5,11,9,9,17,2,17,0,1,6.354838720028534,2.5898422339029836,5.191883696785067,3,0,0,0,0,0,0,8,1,8,4,0,1,2.320729701207001,2.8434392259628085,3.3693358765104064,2.3924788007139135,2.532364018947388,3.244091398613047
45,2,9,8,13,8,1,3.881636854179566,1.7617509252976187,27.508764255083747,9.469168356335986,5.9532686116008495,0.0,12.880973446717462,9.3328181356285,3.0212628783081534,3.2043477957190003,3.343596789211814,4.664802458751875,24,21,21,6,9,3,9,0,0,0,0,1.0,0.0,0,1,2,0,0,12.041678674525233,10,3,0,1,1,4,23,14.625786450151356,8,2,3,4,7,8,7,0,4,0,0,4.412975511594271,1.415239922561621,1.9695750946039126,10,0,0,0,0,0,0,8,2,0,4,0,7,3.1207438047167635,3.9114502060397287,2.3969184037297953,1.4612602834295512,0.3271022012474962,2.7791359991272953
52,1,4,4,13,8,1,6.827048703601955,0.1875800830012091,27.923028244894297,7.792809760464625,7.520983751532556,6.491862104001993,3.2190690703458538,7.891855071745537,5.057047712299099,6.699223648014817,4.714118137349132,9.352756421701471,51,13,22,2,20,1,35,0,0,0,0,1.0,0.1346995606218948,0,1,4,0,0,16.995098064587445,2,0,0,0,0,5,42,8.385093266994705,4,4,0,8,2,14,13,2,12,0,1,3.7130847565909,0.6172877673770456,3.477378858921068,4,0,0,0,0,0,1,11,3,5,2,1,5,3.8152789879658506,3.4339437493153677,3.6357448362679365,2.6708005540599804,0.937450639584109,2.605173113434473
4,1,5,6,6,6,1,5.234267844147171,4.00605146435362,25.160537085596452,13.291558222468701,7.413544419730193,2.5417130702051076,6.636769244052536,15.246679907267335,8.135880514030212,5.9437850060934325,1.6750108557722658,0.9295789250851723,61,18,46,14,0,0,8,0,1,0,0,0.4585958515110239,0.0,0,1,1,0,0,0.0,5,1,5,0,1,0,23,13.97726631648279,13,4,2,13,11,6,29,0,13,0,1,0.0,1.1458604308247087,9.943790364165771,9,0,0,0,0,0,0,4,1,9,2,0,3,2.568373691093651,3.386834852438525,2.051170338842909,1.0852004703456755,0.2881339443981379,3.3944725474881894
0,4,3,6,9,6,1,8.96031264897021,1.9264185898079533,15.873154897937312,11.049198449841505,13.509271122240268,8.8390640470135,10.524316329709432,9.191039642211763,7.220483564487527,0.8090596526744722,6.593166828036795,2.970741418104711,98,16,38,8,8,1,16,1,1,0,1,0.4824729113153309,0.24424590840012456,0,1,3,0,0,16.84938005702019,18,0,8,0,1,2,58,15.442572990574206,13,3,0,16,11,13,11,4,2,0,0,3.3135163257613978,0.0,4.753641391888576,1,0,0,0,0,0,0,10,3,11,6,1,5,4.3679979769736335,2.2623594588092018,1.919048886369433,2.6438170689786156,0.8061070620150246,3.3483047922859366
42,1,0,3,1,7,1,2.534261233542823,0.0,15.100856979647844,6.944158424801775,8.696739778171573,3.9441067135264753,12.261153745729565,10.621462984462372,7.20975411179664,6.557508315279324,0.4348628816269846,0.0,21,19,21,13,7,3,16,0,0,0,0,1.0,0.23057414222400036,0,1,2,0,1,0.0,1,1,4,3,0,6,81,12.24934422000737,7,3,3,9,9,1,13,8,0,0,1,1.9015569628800575,0.5632283932214167,6.607976280647845,0,0,0,0,0,0,0,1,2,7,0,0,4,2.781059202731669,4.019620738527242,3.1146501783331058,1.3717004333720213,0.8264534089424077,2.7575972517709895
37,1,4,5,8,7,1,2.020488428518356,3.0686451777395543,18.739665362010804,9.41893737505113,3.159230564121726,1.6291331913500429,9.512704372432779,12.294905826605167,5.356966839608616,0.7594603707269165,10.73670827601757,0.0,58,16,23,16,9,2,17,0,0,0,1,0.5223431995854126,0.33917115120535557,0,1,2,0,0,8.824055161484674,2,2,6,0,0,5,47,24.036628607373963,22,5,3,1,9,6,7,7,8,0,1,1.3666613327545565,0.6799225495617525,5.619654961747697,5,0,0,0,0,0,0,1,3,11,0,0,4,3.243505427062875,2.518160913432893,3.0521297042721045,2.1315305447447432,1.422440013116569,1.8421536843175172
0,3,5,5,5,7,2,6.448250871670348,3.538530026350198,12.229761939011603,4.770100966877916,9.254544084760294,5.227413673877757,11.24006755357113,7.036933584941831,4.8785921435610735,6.884275484495481,10.713845904961037,13.19276963991405,89,7,9,5,9,0,13,0,0,0,0,0.26261790784550354,0.47933409438963825,0,1,3,0,0,0.0,13,0,0,0,1,0,30,19.139898845542263,6,5,0,4,18,13,24,16,14,0,1,3.3096061799493186,0.0,4.820073231993108,0,0,0,0,0,0,0,8,3,5,3,0,2,2.590433791076196,4.042525459792256,3.3906112113862257,3.026449384014474,0.7751667303910394,3.319464729765617
0,1,6,4,7,6,2,1.6082427434569282,0.0,14.229836007478418,10.106111843042328,9.636991168231937,2.251294996763824,10.39168229976563,10.774837864540629,5.460428267120166,3.4784250706074555,8.89809875639953,14.334392976398677,44,20,17,1,15,3,12,0,0,0,0,1.0,0.19474611406560632,0,1,2,0,0,24.31246579290015,6,7,2,0,0,5,2,17.886226664145482,9,13,2,13,4,16,0,0,0,0,1,2.057779981106602,1.387354047994418,4.326096700045207,12,0,0,0,0,0,0,0,4,4,0,1,1,3.220805174348007,4.2133170341553425,2.74534475683457,2.559165992018892,0.9043401999719205,2.4628709645910365
0,3,3,6,1,8,2,3.6064640223649276,0.7631680368006448,23.868405749054276,9.404860172204213,7.624615915265785,8.806835424299377,9.182112989888413,11.09774227757684,8.173426350495639,5.025101759769357,7.82643695732353,6.370904820895811,56,15,25,13,9,2,11,0,0,0,0,1.0,0.6560832623846392,0,1,1,0,0,0.0,2,3,0,4,0,5,15,15.821430961850067,14,4,2,0,16,4,11,8,3,0,0,4.738599091937701,0.49438729738717413,6.692171875974938,0,0,0,0,0,0,0,7,1,6,3,0,2,3.133126089120662,3.307593919418265,4.5199841660499125,1.2480378433929893,0.7848410187638902,3.150038752759216
