Querylength,domain_token_count,path_token_count,avgdomaintokenlen,longdomaintokenlen,avgpathtokenlen,tld,charcompvowels,charcompace,ldl_url,ldl_domain,ldl_path,ldl_filename,ldl_getArg,dld_url,dld_domain,dld_path,dld_filename,dld_getArg,urlLen,domainlength,pathLength,subDirLen,fileNameLen,this.fileExtLen,ArgLen,pathurlRatio,ArgUrlRatio,argDomanRatio,domainUrlRatio,pathDomainRatio,argPathRatio,executable,isPortEighty,NumberofDotsinURL,ISIpAddressInDomainName,CharacterContinuityRate,LongestVariableValue,URL_DigitCount,host_DigitCount,Directory_DigitCount,File_name_DigitCount,Extension_DigitCount,Query_DigitCount,URL_Letter_Count,host_letter_count,Directory_LetterCount,Filename_LetterCount,Extension_LetterCount,Query_LetterCount,LongestPathTokenLength,Domain_LongestWordLength,Path_LongestWordLength,sub-Directory_LongestWordLength,Arguments_LongestWordLength,URL_sensitiveWord,URLQueries_variable,spcharUrl,delimeter_Domain,delimeter_path,delimeter_Count,NumberRate_URL,NumberRate_Domain,NumberRate_DirectoryName,NumberRate_FileName,NumberRate_Extension,NumberRate_AfterPath,SymbolCount_URL,SymbolCount_Domain,SymbolCount_Directoryname,SymbolCount_FileName,SymbolCount_Extension,SymbolCount_Afterpath,Entropy_URL,Entropy_Domain,Entropy_DirectoryName,Entropy_Filename,Entropy_Extension,Entropy_Afterpath
0,2,3,3,5,5,0,3.452769891,1.969256657,21.71956128,5.645640027,6.123486044,4.286949085,7.184499613,4.877250995,7.700051721,0,7.226906204,14.29780558,95,16,39,6,4,6,10,0,0,0,1,0.166829238,0.438104941,1,1,1,0,0,24.78272507,9,4,2,0,0,0,22,17.30545129,9,2,7,7,12,6,14,6,12,0,2,1.872549698,0.838374236,3.619569521,0,0,0,0,0,0,0,5,1,0,0,0,0,3.880047849,4.290131529,3.082950885,1.568961821,0.449292894,1.966676259
0,1,2,5,10,5,0,3.350806208,0,16.15020537,10.73283485,12.47132484,4.106275057,8.661864676,9.523499865,10.7116308,12.69353995,5.149039451,6.573204675,82,22,32,3,16,5,10,0,0,0,0,0.814543992,0.042938481,0,1,3,0,0,49.60516916,12,0,0,4,0,0,62,14.59535356,0,11,3,4,16,12,9,1,4,0,2,5.741593122,0.274135958,2.368293946,0,0,0,0,0,0,0,6,1,0,0,0,8,3.386796776,2.334695171,3.137379907,2.394249514,1.314698973,3.498561914
0,1,2,6,7,4,1,3.571510913,0.412044098,16.18058404,10.6875485,11.63936975,4.486903635,12.38559769,14.93121476,9.664416601,6.138017499,9.539319553,11.94208595,61,20,35,9,4,1,0,0,0,0,1,1,0.119028734,1,1,0,0,0,0,7,0,1,4,0,2,48,8.557605446,6,10,0,10,4,2,16,12,5,1,3,2.187241571,1.696330881,0.176675248,10,0,0,0,0,0,0,3,5,5,1,1,6,3.228154781,2.868005449,2.239797529,1.48159999,0.479439266,2.568647928
0,1,2,6,7,4,1,3.571510913,0.412044098,16.18058404,10.6875485,11.63936975,4.486903635,12.38559769,14.93121476,9.664416601,6.138017499,9.539319553,11.94208595,61,20,35,9,4,1,0,0,0,0,1,1,0.119028734,1,1,0,0,0,0,7,0,1,4,0,2,48,8.557605446,6,10,0,10,4,2,16,12,5,1,3,2.187241571,1.696330881,0.176675248,10,0,0,0,0,0,0,3,5,5,1,1,6,3.228154781,2.868005449,2.239797529,1.48159999,0.479439266,2.568647928
29,2,3,6,6,7,1,4.345175835,2.506361823,21.36936998,8.89525313,9.157539658,10.18205064,13.65387346,11.47342645,12.9829593,4.461165759,2.925949936,5.475449879,50,22,13,13,0,4,5,1,0,0,1,1,0.240559455,0,1,2,0,0,28.8217488,0,0,3,0,0,5,57,10.64922435,11,0,0,12,14,8,8,11,6,0,2,1.177112754,0.674454988,1.674402007,4,0,0,0,0,0,0,0,0,2,0,0,3,3.269517757,2.615074368,1.702962813,2.011799316,0.403802335,3.039488097
0,4,3,6,9,6,1,8.960312649,1.92641859,15.8731549,11.04919845,13.50927112,8.839064047,10.52431633,9.191039642,7.220483564,0.809059653,6.593166828,2.970741418,98,16,38,8,8,1,16,1,1,0,1,0.482472911,0.244245908,0,1,3,0,0,16.84938006,18,0,8,0,1,2,58,15.44257299,13,3,0,16,11,13,11,4,2,0,0,3.313516326,0,4.753641392,1,0,0,0,0,0,0,10,3,11,6,1,5,4.367997977,2.262359459,1.919048886,2.643817069,0.806107062,3.348304792
42,1,0,3,1,7,1,2.534261234,0,15.10085698,6.944158425,8.696739778,3.944106714,12.26115375,10.62146298,7.209754112,6.557508315,0.434862882,0,21,19,21,13,7,3,16,0,0,0,0,1,0.230574142,0,1,2,0,1,0,1,1,4,3,0,6,81,12.24934422,7,3,3,9,9,1,13,8,0,0,1,1.901556963,0.563228393,6.607976281,0,0,0,0,0,0,0,1,2,7,0,0,4,2.781059203,4.019620739,3.114650178,1.371700433,0.826453409,2.757597252
37,1,4,5,8,7,1,2.020488429,3.068645178,18.73966536,9.418937375,3.159230564,1.629133191,9.512704372,12.29490583,5.35696684,0.759460371,10.73670828,0,58,16,23,16,9,2,17,0,0,0,1,0.5223432,0.339171151,0,1,2,0,0,8.824055161,2,2,6,0,0,5,47,24.03662861,22,5,3,1,9,6,7,7,8,0,1,1.366661333,0.67992255,5.619654962,5,0,0,0,0,0,0,1,3,11,0,0,4,3.243505427,2.518160913,3.052129704,2.131530545,1.422440013,1.842153684
0,3,5,5,5,7,2,6.448250872,3.538530026,12.22976194,4.770100967,9.254544085,5.227413674,11.24006755,7.036933585,4.878592144,6.884275484,10.7138459,13.19276964,89,7,9,5,9,0,13,0,0,0,0,0.262617908,0.479334094,0,1,3,0,0,0,13,0,0,0,1,0,30,19.13989885,6,5,0,4,18,13,24,16,14,0,1,3.30960618,0,4.820073232,0,0,0,0,0,0,0,8,3,5,3,0,2,2.590433791,4.04252546,3.390611211,3.026449384,0.77516673,3.31946473
0,1,2,5,10,5,0,3.350806208,0,16.15020537,10.73283485,12.47132484,4.106275057,8.661864676,9.523499865,10.7116308,12.69353995,5.149039451,6.573204675,82,22,32,3,16,5,10,0,0,0,0,0.814543992,0.042938481,0,1,3,0,0,49.60516916,12,0,0,4,0,0,62,14.59535356,0,11,3,4,16,12,9,1,4,0,2,5.741593122,0.274135958,2.368293946,0,0,0,0,0,0,0,6,1,0,0,0,8,3.386796776,2.334695171,3.137379907,2.394249514,1.314698973,3.498561914
